529661510369284096,@mikeyerxa EXCUSE ME, WHERE'S MY INVITE (to the latter, duh)
529661727940431872,@halihamilton @mikeyerxa gonna try to make it to both.
529661317087768576,@mikeyerxa you should send Prince a set of tennis balls for the legs of his walker.  Easier to slide across stage.
529666750330449920,@NobleRobel Girl, don't be mean.   Age ain't nothing but a number.
529660296080916480,Prince is playing a secret show in Toronto tonight.  I will also be playing a secret show tonight involving pizza &amp; netflix bingeing.
529656160736251904,@EntCity @davidleyes
529751327174586370,@jordanletkemann @EntCity 
haha!!!! keep your ears open and let me know if you hear anything...
i'll do the same!!!
http://t.co/iSYC7y73y3
529670625229422593,@jordanletkemann @EntCity @davidleyes wtf?!?!?!?!
529697018575585280,@EntCity prince is god
529677185171607553,@davidleyes @EntCity: I'm crying as well... Don't you worry!
529880720458911745,@davidleyes: I'm crying purple tears...
529653029747064832,Prince fans lining up at Massey Hall. Wristbands for surprise show reportedly on sale at 6pm. #Toronto http://t.co/uZBPGlfyce
529690572630798338,@LisaLaFlammeCTV @CTVToronto a suprise concert on Vancouver would be cool #cmonprince
529687957377413120,@LisaLaFlammeCTV hope not
529690952563433472,@LisaLaFlammeCTV I am in a line up. It is going down Victoria Street to Queen.
529689606649020418,@LisaLaFlammeCTV Do you mean the artist formerly known as "Strange Symbol"?
529689031571808256,@LisaLaFlammeCTV yep, don't as me how I know, but yep
529687410611728384,Is it true? Prince rumoured to be performing surprise show in Toronto http://t.co/EZiiLVkXyb
529715169942065152,“@billboard: Secret Prince show rumored for Toronto tonight http://t.co/90Qxxfa6w7” Wishing this was NYC @pdubfunk
529714660690644992,“@billboard: Secret Prince show rumored for Toronto tonight http://t.co/5Wvo9cdOkD” why does no one ever do secret shows in Ohio? 😔
529714853955399680,“@billboard: Secret Prince show rumored for Toronto tonight http://t.co/03P4JFAC8R” @TheBruun
529739950993203201,@TheBruun noooooo!
529736871707152385,@Rachelle_JL I think it sold out in minus 4 minutes.
529713467184676864,Secret Prince show rumored for Toronto tonight http://t.co/GE2DFcFKLJ
529689790254698496,@FreekmaneJames LOOOOOOOOOOOOOOOOOOOL
529690091221180416,@FreekmaneJames *holds boom box to air and gets emosh with benji* PURPLE RAIN PURPLE RAINBNNN *insert hard electric guitar here*
529693591132983297,@tristananthonyJ we should be at this concert
